"","Korea","Italy","X"
"X1.22.20",1,0,0
"X1.23.20",1,0,1
"X1.24.20",2,0,3
"X1.25.20",2,0,3
"X1.26.20",3,0,4
"X1.27.20",4,0,5
"X1.28.20",4,0,7
"X1.29.20",4,0,7
"X1.30.20",4,0,10
"X1.31.20",11,2,13
"X2.1.20",12,2,16
"X2.2.20",15,2,18
"X2.3.20",15,2,18
"X2.4.20",16,2,24
"X2.5.20",19,2,28
"X2.6.20",23,2,28
"X2.7.20",24,3,30
"X2.8.20",24,3,33
"X2.9.20",25,3,40
"X2.10.20",27,3,45
"X2.11.20",28,3,47
"X2.12.20",28,3,50
"X2.13.20",28,3,58
"X2.14.20",28,3,67
"X2.15.20",28,3,72
"X2.16.20",29,3,75
"X2.17.20",30,3,77
"X2.18.20",31,3,81
"X2.19.20",31,3,84
"X2.20.20",104,3,84
"X2.21.20",204,20,85
"X2.22.20",433,62,85
"X2.23.20",602,155,89
"X2.24.20",833,229,89
"X2.25.20",977,322,91
"X2.26.20",1261,453,93
"X2.27.20",1766,655,93
"X2.28.20",2337,888,93
"X2.29.20",3150,1128,102
"X3.1.20",3736,1694,106
"X3.2.20",4335,2036,108
"X3.3.20",5186,2502,110
"X3.4.20",5621,3089,110
"X3.5.20",6088,3858,117
"X3.6.20",6593,4636,130
"X3.7.20",7041,5883,138
"X3.8.20",7314,7375,150
"X3.9.20",7478,9172,150
"X3.10.20",7513,10149,160
"X3.11.20",7755,12462,178
"X3.12.20",7869,15113,178
"X3.13.20",7979,17660,200
"X3.14.20",8086,21157,212
"X3.15.20",8162,24747,226
"X3.16.20",8236,27980,243
"X3.17.20",8320,31506,266
"X3.18.20",8413,35713,313
"X3.19.20",8565,41035,345
"X3.20.20",8652,47021,385
"X3.21.20",8799,53578,432
"X3.22.20",8897,59138,455
"X3.23.20",8961,63927,509
"X3.24.20",9037,69176,558
"X3.25.20",9137,74386,631
"X3.26.20",9241,80589,683
"X3.27.20",9332,86498,732
"X3.28.20",9478,92472,802
"X3.29.20",9583,97689,844
"X3.30.20",9661,101739,879
"X3.31.20",9786,105792,926
"X4.1.20",9887,110574,1000
"X4.2.20",9976,115242,1049
"X4.3.20",10062,119827,1114
"X4.4.20",10156,124632,1189
"X4.5.20",10237,128948,1309
"X4.6.20",10284,132547,1375
"X4.7.20",10331,135586,1481
"X4.8.20",10384,139422,1623
"X4.9.20",10423,143626,1910
"X4.10.20",10450,147577,2108
"X4.11.20",10480,152271,2299
"X4.12.20",10512,156363,2532
"X4.13.20",10537,159516,2918
"X4.14.20",10564,162488,3252
"X4.15.20",10591,165155,3699
"X4.16.20",10613,168941,4427
"X4.17.20",10635,172434,5050
"X4.18.20",10653,175925,5992
"X4.19.20",10661,178972,6588
"X4.20.20",10674,181228,8014
"X4.21.20",10683,183957,9125
"X4.22.20",10694,187327,10141
"X4.23.20",10708,189973,11178
"X4.24.20",10718,192994,12075
"X4.25.20",10728,195351,12693
"X4.26.20",10738,197675,13624
"X4.27.20",10752,199414,14423
"X4.28.20",10761,201505,14951
"X4.29.20",10765,203591,15641
"X4.30.20",10774,205463,16169
