"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-91,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,69,NA,NA,1,NA,NA,1.47058823529412,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,84,NA,NA,15,NA,NA,21.7391304347826,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,113,NA,NA,29,NA,NA,34.5238095238095,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,125,NA,NA,12,NA,NA,10.6194690265487,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,140,NA,NA,15,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,157,NA,NA,17,NA,NA,12.1428571428571,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,207,NA,NA,50,NA,NA,31.8471337579618,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,229,NA,NA,22,NA,NA,10.6280193236715,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,254,NA,NA,25,NA,NA,10.9170305676856,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,342,NA,NA,88,NA,NA,34.6456692913386,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,395,NA,NA,53,NA,NA,15.4970760233918,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,421,NA,NA,26,NA,NA,6.58227848101266,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,467,NA,NA,46,NA,NA,10.9263657957245,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,514,NA,NA,47,NA,NA,10.0642398286938,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,514,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,626,NA,NA,112,NA,NA,21.7898832684825,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,676,NA,NA,50,NA,NA,7.98722044728434,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,723,NA,NA,47,NA,NA,6.95266272189349,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,734,NA,NA,11,NA,NA,1.52143845089903,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,783,NA,NA,49,NA,NA,6.67574931880109,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,805,NA,NA,22,NA,NA,2.80970625798212,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,901,NA,NA,96,NA,NA,11.9254658385093,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,901,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,970,NA,NA,69,NA,NA,7.65815760266371,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,1003,NA,NA,33,NA,NA,3.4020618556701,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,1015,NA,NA,12,NA,NA,1.19641076769691,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,1040,NA,NA,25,NA,NA,2.46305418719212,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,1080,NA,NA,40,NA,NA,3.84615384615385,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,1126,NA,NA,46,NA,NA,4.25925925925926,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,1178,NA,NA,52,NA,NA,4.61811722912966,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,1206,NA,NA,28,NA,NA,2.37691001697793,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,1243,NA,NA,37,NA,NA,3.06799336650083,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,1254,NA,NA,11,NA,NA,0.884955752212389,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,1287,NA,NA,33,NA,NA,2.63157894736842,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,1307,NA,NA,20,NA,NA,1.55400155400155,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,1326,NA,NA,19,NA,NA,1.45371078806427,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,1374,NA,NA,48,NA,NA,3.61990950226244,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,1489,NA,NA,115,NA,NA,8.36972343522562,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,1585,NA,NA,96,NA,NA,6.44728005372733,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,1625,NA,NA,40,NA,NA,2.52365930599369,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,1664,NA,NA,39,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,1689,NA,NA,25,NA,NA,1.50240384615385,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,1761,NA,NA,72,NA,NA,4.26287744227353,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,1805,NA,NA,44,NA,NA,2.49858035207269,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,NA,1835,NA,NA,30,NA,NA,1.66204986149584,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,NA,1887,NA,NA,52,NA,NA,2.83378746594005,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,NA,1901,NA,NA,14,NA,NA,0.741918388977213,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,NA,1920,NA,NA,19,NA,NA,0.999473961073119,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,NA,1942,NA,NA,22,NA,NA,1.14583333333333,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,NA,1976,NA,NA,34,NA,NA,1.75077239958805,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,NA,2041,NA,NA,65,NA,NA,3.28947368421053,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,NA,2120,NA,NA,79,NA,NA,3.87065164135228,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,NA,2120,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,2,2120,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,5,2192,NA,3,72,NA,150,3.39622641509434,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,8,2278,NA,3,86,NA,60,3.92335766423358,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,11,2322,NA,3,44,NA,37.5,1.9315188762072,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,15,2371,NA,4,49,NA,36.3636363636364,2.11024978466839,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,22,2392,NA,7,21,NA,46.6666666666667,0.885702235343737,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,29,2418,NA,7,26,NA,31.8181818181818,1.08695652173913,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,37,2454,NA,8,36,NA,27.5862068965517,1.48883374689826,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,56,2461,NA,19,7,NA,51.3513513513513,0.285248573757131,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,67,2492,NA,11,31,NA,19.6428571428571,1.2596505485575,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,82,2537,NA,15,45,NA,22.3880597014925,1.80577849117175,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,101,2595,NA,19,58,NA,23.1707317073171,2.28616476152937,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,127,2648,NA,26,53,NA,25.7425742574257,2.04238921001927,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,152,2837,NA,25,189,NA,19.6850393700787,7.13746223564955,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,193,2842,NA,41,5,NA,26.9736842105263,0.176242509693338,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,242,2851,NA,49,9,NA,25.3886010362694,0.316678395496129,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,301,2894,NA,59,43,NA,24.3801652892562,1.50824272185198,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,333,2965,NA,32,71,NA,10.6312292358804,2.45335176226676,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,409,3030,NA,76,65,NA,22.8228228228228,2.19224283305228,NA,NA,NA,NA,NA,NA,NA,NA
-18,0,4,496,3155,NA,87,125,NA,21.2713936430318,4.12541254125412,NA,NA,NA,NA,NA,NA,NA,NA
-17,1,8,580,3302,4,84,147,100,16.9354838709677,4.65927099841521,NA,NA,NA,NA,NA,NA,NA,NA
-16,2,17,695,3323,9,115,21,112.5,19.8275862068966,0.635978195033313,NA,NA,NA,NA,NA,NA,NA,NA
-15,3,23,813,3345,6,118,22,35.2941176470588,16.9784172661871,0.662052362323202,NA,NA,NA,NA,NA,NA,NA,NA
-14,4,32,919,3525,9,106,180,39.1304347826087,13.0381303813038,5.38116591928251,NA,NA,NA,NA,NA,NA,NA,NA
-13,5,38,1035,3660,6,116,135,18.75,12.6224156692057,3.82978723404255,NA,NA,NA,NA,NA,NA,NA,NA
-12,6,49,1173,3852,11,138,192,28.9473684210526,13.3333333333333,5.24590163934426,NA,NA,NA,NA,NA,NA,NA,NA
-11,7,68,1348,4024,19,175,172,38.7755102040816,14.9190110826939,4.46521287642783,NA,NA,NA,NA,NA,NA,NA,NA
-10,8,91,1545,4254,23,197,230,33.8235294117647,14.6142433234421,5.71570576540755,NA,NA,NA,NA,NA,NA,NA,NA
-9,9,122,1760,4405,31,215,151,34.0659340659341,13.915857605178,3.5496003761166,NA,NA,NA,NA,NA,NA,NA,NA
-8,10,145,1943,4449,23,183,44,18.8524590163934,10.3977272727273,0.998864926220204,NA,NA,NA,NA,NA,NA,NA,NA
-7,11,168,2100,4888,23,157,439,15.8620689655172,8.0802882141019,9.86738592942234,NA,NA,NA,NA,NA,NA,NA,NA
-6,12,201,2272,5154,33,172,266,19.6428571428571,8.19047619047619,5.44189852700491,NA,NA,NA,NA,NA,NA,NA,NA
