"","Korea","Italy","X"
"X1.22.20",1,0,0
"X1.23.20",1,0,0
"X1.24.20",2,0,2
"X1.25.20",2,0,3
"X1.26.20",3,0,3
"X1.27.20",4,0,3
"X1.28.20",4,0,4
"X1.29.20",4,0,5
"X1.30.20",4,0,5
"X1.31.20",11,2,5
"X2.1.20",12,2,6
"X2.2.20",15,2,6
"X2.3.20",15,2,6
"X2.4.20",16,2,6
"X2.5.20",19,2,6
"X2.6.20",23,2,6
"X2.7.20",24,3,6
"X2.8.20",24,3,11
"X2.9.20",25,3,11
"X2.10.20",27,3,11
"X2.11.20",28,3,11
"X2.12.20",28,3,11
"X2.13.20",28,3,11
"X2.14.20",28,3,11
"X2.15.20",28,3,12
"X2.16.20",29,3,12
"X2.17.20",30,3,12
"X2.18.20",31,3,12
"X2.19.20",31,3,12
"X2.20.20",104,3,12
"X2.21.20",204,20,12
"X2.22.20",433,62,12
"X2.23.20",602,155,12
"X2.24.20",833,229,12
"X2.25.20",977,322,14
"X2.26.20",1261,453,18
"X2.27.20",1766,655,38
"X2.28.20",2337,888,57
"X2.29.20",3150,1128,100
"X3.1.20",3736,1694,130
"X3.2.20",4335,2036,191
"X3.3.20",5186,2502,204
"X3.4.20",5621,3089,285
"X3.5.20",6088,3858,377
"X3.6.20",6593,4636,653
"X3.7.20",7041,5883,949
"X3.8.20",7314,7375,1126
"X3.9.20",7478,9172,1209
"X3.10.20",7513,10149,1784
"X3.11.20",7755,12462,2281
"X3.12.20",7869,15113,2281
"X3.13.20",7979,17660,3661
"X3.14.20",8086,21157,4469
"X3.15.20",8162,24747,4499
"X3.16.20",8236,27980,6633
"X3.17.20",8320,31506,7652
"X3.18.20",8413,35713,9043
"X3.19.20",8565,41035,10871
"X3.20.20",8652,47021,12612
"X3.21.20",8799,53578,14282
"X3.22.20",8897,59138,16018
"X3.23.20",8961,63927,19856
"X3.24.20",9037,69176,22304
"X3.25.20",9137,74386,25233
"X3.26.20",9241,80589,29155
"X3.27.20",9332,86498,32964
"X3.28.20",9478,92472,37575
"X3.29.20",9583,97689,40174
"X3.30.20",9661,101739,44550
"X3.31.20",9786,105792,52128
"X4.1.20",9887,110574,56989
"X4.2.20",9976,115242,59105
"X4.3.20",10062,119827,64338
"X4.4.20",10156,124632,68605
"X4.5.20",10237,128948,70478
"X4.6.20",10284,132547,74390
"X4.7.20",10331,135586,78167
"X4.8.20",10384,139422,82048
"X4.9.20",10423,143626,86334
"X4.10.20",10450,147577,90676
"X4.11.20",10480,152271,93790
"X4.12.20",10512,156363,120633
"X4.13.20",10537,159516,124298
"X4.14.20",10564,162488,129257
"X4.15.20",10591,165155,132473
"X4.16.20",10613,168941,144944
"X4.17.20",10635,172434,146923
"X4.18.20",10653,175925,146906
"X4.19.20",10661,178972,151808
"X4.20.20",10674,181228,154188
"X4.21.20",10683,183957,156921
"X4.22.20",10694,187327,154715
"X4.23.20",10708,189973,157026
"X4.24.20",10718,192994,158636
"X4.25.20",10728,195351,160292
"X4.26.20",10738,197675,160847
"X4.27.20",10752,199414,164589
"X4.28.20",10761,201505,167605
"X4.29.20",10765,203591,165093
"X4.30.20",10774,205463,165764
"X5.1.20",10780,207428,165764
"X5.2.20",10793,209328,166976
"X5.3.20",10801,210717,167272
"X5.4.20",10804,211938,167886
"X5.5.20",10806,213013,168935
